Manual_File,Manual_Area,Manual_PD,Manual_AP,Auto_File,Auto_Area,Auto_PD,Auto_AP
samw_M_L_oly_4X_2,23.192,6.77,4.01,samw_M_L_oly_4X_2,483812,956.0597523,565.5528269
samw_M_L_oly_4X_3,23.06,6.72,3.98,samw_M_L_oly_4X_3,480908,943.2254503,567.4169543
samw_M_L_oly_4X_4,18.801,6.13,3.56,samw_M_L_oly_4X_4,393223,857.1850734,509.5193814
samw_M_L_oly_4X_5,21.592,6.51,3.82,samw_M_L_oly_4X_5,451018,824.3198712,543.3231083
samw_M_L_oly_4X_6,22.201,6.69,3.91,samw_M_L_oly_4X_6,460920,939.4258885,552.4898189
samw_M_L_oly_4X_7,23.267,6.75,3.99,samw_M_L_oly_4X_7,484991,957.6622578,561.5870369
samw_M_L_oly_4X_9,22.839,6.69,3.97,samw_M_L_oly_4X_9,479705,951.6475188,560.4400057
samw_M_L_oly_4X_10,22.478,6.62,3.91,samw_M_L_oly_4X_10,472624,947.2563011,555.1549333
samw_M_L_oly_4X_11,23.968,6.61,3.98,samw_M_L_oly_4X_11,499511,972.5703059,563.5494654
samw_M_L_oly_4X_12,23.895,6.8,3.99,samw_M_L_oly_4X_12,502853,973.2893968,567.8344829
samw_M_L_oly_4X_13,22.081,6.53,3.83,samw_M_L_oly_4X_13,462269,927.0302045,550.0409076
samw_M_L_oly_4X_14,22.73,6.66,3.93,samw_M_L_oly_4X_14,475903,945.3201839,550.0709045
samw_M_L_oly_4X_15,23.86,6.79,4,samw_M_L_oly_4X_15,500414,965.6772235,573.2468927
samw_M_L_oly_4X_16,22.963,6.69,3.95,samw_M_L_oly_4X_16,479501,947.1326465,558.9391738
samw_M_L_oly_4X_17,22.587,6.63,3.92,samw_M_L_oly_4X_17,476940,948.4189475,557.1355311
samw_M_L_oly_4X_18,21.788,6.61,3.91,samw_M_L_oly_4X_18,459095,923.5152949,555.8273113
samw_M_L_oly_4X_19,22.69,6.74,3.94,samw_M_L_oly_4X_19,474760,952.8567573,558.6134621
