Filename,Genotype,MAPPER area,FIJI area
'1346 x 1194 Sample 1',1,1.144472271,1.132427903
'1346 x 1194 Sample 10',1,1.179497141,1.177578932
'1346 x 1194 Sample 11',1,1.117222583,1.111950431
'1346 x 1194 Sample 12',1,1.179096539,1.175406325
'1346 x 1194 Sample 13',1,1.142749976,1.135632717
'1346 x 1194 Sample 14',1,1.159768238,1.16145252
'1346 x 1194 Sample 15',1,1.10526009,1.103836054
'1346 x 1194 Sample 16',1,1.120073581,1.116316112
'1346 x 1194 Sample 17',1,1.134100489,1.132904532
'1346 x 1194 Sample 2',1,1.091206866,1.09822763
'1346 x 1194 Sample 3',1,1.096730491,1.10537413
'1346 x 1194 Sample 4',1,1.13338116,1.138641616
'1346 x 1194 Sample 5',1,1.130322551,1.12689843
'1346 x 1194 Sample 6',1,1.074290947,1.070694304
'1346 x 1194 Sample 7',1,1.101385658,1.101675144
'1346 x 1194 Sample 8',1,1.162370687,1.160060648
'1346 x 1194 Sample 9',1,1.173736664,1.170236516
'1346 x 2293 Disc1_4x',2,1.403360389,1.396801633
'1346 x 2293 Disc2_4x',2,1.443999531,1.443113528
'1346 x 2293 Disc3_4x',2,1.436934905,1.435013771
'1346 x 2293 Disc4_4x',2,1.520216197,1.518034819
'1346 x 2293 Disc5_4x',2,1.39697123,1.39302662
'1346 x 2293 Disc6_4x',2,1.424030852,1.414711745
'1346 x 2293 Disc7_4x',2,1.408553591,1.410185238
'1346 x 2293 Disc8_4x',2,1.511584254,1.502835347
'1346 x 2293 Disc9_4x',2,1.526140424,1.525540983
'1346 x 2293 Sample 1',2,1.487904892,1.470690716
'1346 x 2293 Sample 10',2,1.509654348,1.507744911
'1346 x 2293 Sample 12',2,1.483577224,1.47936652
'1346 x 2293 Sample 13',2,1.477948332,1.474334144
'1346 x 2293 Sample 14',2,1.452926808,1.44228016
'1346 x 2293 Sample 15',2,1.474875103,1.472822384
'1346 x 2293 Sample 16',2,1.475164589,1.471445133
'1346 x 2293 Sample 17',2,1.488159289,1.480682365
'1346 x 2293 Sample 2',2,1.424802814,1.414936901
'1346 x 2293 Sample 3',2,1.489937142,1.482080085
'1346 x 2293 Sample 4',2,1.437320886,1.432083823
'1346 x 2293 Sample 5',2,1.420565793,1.420062848
'1346 x 2293 Sample 6',2,1.453128571,1.442119334
'1346 x 2293 Sample 7',2,1.458400723,1.454242653
'1346 x 2293 Sample 8',2,1.507516831,1.495902306
'1346 x 2293 Sample 9',2,1.440549093,1.440113402
'2021_10_22 1346 x 2294 Sample 1',3,0.666762054,0.669686154
'2021_10_22 1346 x 2294 Sample 2',3,0.64271718,0.64014982
'2021_10_22 1346 x 2294 Sample 3',3,0.669893765,0.666194779
'2021_10_22 1346 x 2294 Sample 4',3,0.639398327,0.637240341
'2021_10_22 1346 x 2294 Sample 5',3,0.659861178,0.656790873
