Wing name,Genotype,Intervein area_1,Intervein area_2,Intervein area_3,Intervein area_4,Intervein area_5,Intervein area_6,Intervein area_7,Intervein area_8,Intervein area_9,Intervein area_10,Trichome density Intervein_1,Trichome density Intervein_2,Trichome density Intervein_3,Trichome density Intervein_4,Trichome density Intervein_5,Trichome density Intervein_6,Trichome density Intervein_7,Trichome density Intervein_8,Trichome density Intervein_9,Trichome density Intervein_10,Wing area,Total Trichome density,AP axis,PD axis,d(L3-L4)
samw_F_L_oly_4X_12,Female,51969,93569,7434,102726,31505,113485,129911,0,0,0,989,1899,161,2117,637,2494,2863,0,0,0,601658,0.021032833,615.5038586,1071.601255,122.7762192
samw_F_L_oly_4X_13,Female,48598,91921,6539,101858,30512,110494,127881,0,0,0,835,1801,133,2019,616,2246,2650,0,0,0,595091,0.019891735,618.5466838,1067.524824,130.678996
samw_F_L_oly_4X_14,Female,45889,87967,6229,98165,27848,110970,122082,0,0,0,895,1822,137,2095,610,2554,2802,0,0,0,568198,0.021867174,608.2515927,1037.983863,124.2336508
samw_F_L_oly_4X_16,Female,47483,91685,6390,99368,28911,109639,124117,0,0,0,909,2012,142,2181,592,2476,2749,0,0,0,577392,0.021791081,602.1901693,1051.369702,128.8099375
samw_F_L_oly_4X_17,Female,45285,83970,6049,94173,26994,104829,115625,0,0,0,888,1784,141,1997,592,2417,2630,0,0,0,541292,0.021909105,596.8885993,1013.921718,123.6931688
samw_F_L_oly_4X_18,Female,49304,91245,6998,100169,30829,111197,129059,0,0,0,957,1906,154,2113,640,2522,2934,0,0,0,587900,0.021638355,614.0757282,1064.237873,130.6139349
samw_F_L_oly_4X_19,Female,50266,91380,6888,102228,29867,113847,138198,0,0,0,941,1906,158,2144,607,2604,3063,0,0,0,604901,0.021444636,613.7393584,1074.528385,128.7050893
samw_F_L_oly_4X_20,Female,52674,96510,7421,107696,31987,120147,139256,0,0,0,997,1989,167,2254,666,2645,3114,0,0,0,628824,0.021292409,630.4363568,1096.365815,127.2242115
samw_F_L_oly_4X_21,Female,45280,85663,5934,94769,27913,106185,121469,0,0,0,907,1813,139,2062,598,2510,2755,0,0,0,552433,0.022134056,593.4104819,1020.570674,120.1540678
samw_F_L_oly_4X_22,Female,47868,87732,6858,101747,28679,111391,126539,0,0,0,921,1854,157,2249,629,2579,2857,0,0,0,583532,0.022015841,617.1199235,1053.450758,136.0147051
