Wing name,Genotype,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,Coeff6,Coeff7,Coeff8,Coeff9,Coeff10,Coeff11,Coeff12,Coeff13,Coeff14,Coeff15,Coeff16,Coeff17,Coeff18,Coeff19,Coeff20,Coeff21,Coeff22,Coeff23,Coeff24,Coeff25,Coeff26,Coeff27,Coeff28,Coeff29,Coeff30,Coeff31,Coeff32,Coeff33,Coeff34,Coeff35,Coeff36,Coeff37,Coeff38,Coeff39,Coeff40,Coeff41,Coeff42,Coeff43,Coeff44,Coeff45,Coeff46,Coeff47,Coeff48,Coeff49,Coeff50,Coeff51,Coeff52,Coeff53,Coeff54,Coeff55,Coeff56,Coeff57,Coeff58,Coeff59,Coeff60,Coeff61,Coeff62,Coeff63,Coeff64,Coeff65,Coeff66,Coeff67,Coeff68,Coeff69,Coeff70,Coeff71,Coeff72,Coeff73,Coeff74,Coeff75,Coeff76,Coeff77,Coeff78,Coeff79,Coeff80
samw_F_L_oly_4X_12,Female,0.85756714,0,-0.340483489,0,561.7287692,3.55E-14,7.11E-14,-335.0037783,2.674319465,-0.891740079,6.856280258,4.207672504,31.79479005,3.016875965,0.849540057,-30.00143586,2.194679611,-1.633571588,-2.440899255,-4.366350847,7.381896561,0.884145884,2.534018441,-1.006967882,0.629098888,0.13197085,-1.836481833,-1.874466413,3.42521414,-0.379885405,2.662806897,-1.502566458,-0.047468944,0.160717462,-2.857808875,0.960946474,1.184578392,-0.921901185,0.65582804,-0.520402772,0.42025716,0.825400959,0.619311121,1.316222405,0.362831751,-1.210664825,0.028270442,-1.083064738,0.006634431,0.358569982,0.343954595,-0.327373889,-0.13821958,-0.642415355,-0.284204352,-0.10735293,-0.041086201,0.598884918,-0.0651164,-0.28224308,-0.067681282,-0.43737705,0.206494441,-0.668474017,0.081010903,0.50784378,-0.576417788,0.119688091,-0.165009447,-0.352392012,-0.249453691,-0.239200194,0.311786666,0.373321059,0.11669975,0.747385213,-0.063189186,-0.323190221,0.12392348,-0.104425287
samw_F_L_oly_4X_13,Female,3.486709161,0,2.218418095,0,557.5130327,4.26E-14,6.93E-14,-333.892149,4.858635036,2.936293472,2.498150902,2.684532273,32.53529833,2.402057454,1.894313133,-29.33122112,3.080385905,-1.928648082,-2.207354949,-3.052254672,7.794476299,0.954500181,1.980746661,-1.162698882,0.820504975,-0.079467621,-1.214603943,-0.972875902,3.085083885,-0.502738435,3.643114995,-1.942406978,0.222121707,0.545270736,-2.665464203,0.216882989,0.758846564,-1.089633943,0.225876027,-1.036947658,0.841442269,0.955877193,0.357961349,1.64858119,0.111043243,-0.892869084,-0.22241295,-1.139974649,0.380289875,0.467917355,-0.187524,-0.338575033,0.105783799,-0.437593509,-0.69711483,0.319803923,0.283766865,0.78068162,0.017030622,0.595510686,0.149471108,-0.845890119,0.832837141,-0.610460399,0.350431107,0.629152963,0.158395845,0.060341598,-0.313390594,-0.702839375,-0.429961625,-0.497521904,0.601413996,0.177373754,0.484011729,0.269491244,-0.466953711,-0.424268585,-0.251409875,-0.297182694
samw_F_L_oly_4X_14,Female,1.07590908,0,0.702121567,0,544.766751,4.09E-14,7.11E-14,-325.8964022,3.136241671,1.148783002,1.581507618,4.806445902,31.48699014,1.650811502,0.63078064,-28.80569717,1.989734689,-0.718289794,-1.536429689,-3.086446504,7.645695736,0.242328867,2.334428804,-1.730483315,0.368450605,0.369695578,-0.929945746,-0.885204388,2.749569941,-0.757037068,2.69827083,-1.977837795,0.051438741,0.796781739,-2.20753328,0.880271134,0.700676052,-1.002320111,0.097069088,-0.704853283,0.813405595,1.316590058,0.710409536,1.298072725,0.126637451,-0.813098251,-0.688845791,-1.109521364,0.613424009,0.749223722,0.077439095,-0.12920062,-0.119092201,-0.32703027,-0.557202001,0.070600557,0.546076563,0.692208618,0.160389872,-0.082292309,-0.15901975,-0.446654302,0.136084901,-0.425980063,0.325740502,0.538828086,-0.163099787,0.031644198,-0.23295696,-0.268586379,-0.231298901,0.040350763,0.524520427,0.240056421,0.403487519,0.421792462,-0.188492395,-0.090999384,-0.167491506,-0.144265825
samw_F_L_oly_4X_16,Female,2.004229964,0,1.504917687,0,550.0865477,-7.11E-14,-1.28E-13,-328.0454311,5.349985044,1.363799329,0.012313422,3.894022987,32.15110938,1.161238986,1.576287435,-28.44864576,3.300666584,-0.889434216,-2.433729039,-3.726386152,7.49114754,0.264093166,1.782709218,-1.292293,1.137238537,0.455348393,-1.243761064,-1.456881039,2.882937106,-1.523411347,3.096465029,-1.323710982,0.047605519,0.872970945,-2.198812542,0.174316484,0.684771579,-1.467741011,0.208439646,-0.431515099,0.779166859,1.45930942,0.326727792,1.418945678,0.093867138,-1.3968343,-0.268072963,-0.932795706,0.616511025,1.159688397,-0.043715807,0.019948421,0.128245417,-0.79610114,-0.62382804,0.228117621,0.417671579,0.920956034,0.53761405,0.043004973,-0.101117676,-0.854152148,0.341404194,-0.521231109,0.453129909,0.759605364,-0.104312064,-0.149450077,-0.156975576,-0.728248284,-0.261964,0.002126736,0.471069484,0.522471016,0.065802642,0.327095762,-0.138332974,-0.177627877,-0.294526343,-0.120431618
samw_F_L_oly_4X_17,Female,1.193222831,0,0.059286994,0,530.571996,1.42E-13,2.31E-13,-318.9295053,3.587511319,-1.09829725,1.472733801,3.201030145,31.47357094,1.633935738,0.34692355,-27.57619776,2.334732495,-0.903675106,-2.087680662,-3.794730426,7.180628781,-0.044002766,2.319105097,-1.413365848,0.143805106,-0.223142409,-1.157315095,-1.296077115,3.20407783,-0.960481946,2.661465111,-1.852611556,-0.282321659,0.338682282,-2.171124008,0.610520459,0.866654315,-0.982904554,0.153042103,-0.991195829,0.163332707,0.931464543,0.41332527,1.426966448,0.454052541,-0.984946193,-0.395954847,-1.282872582,0.224928959,0.565709591,0.138630741,-0.04122401,-0.065972727,-0.517042847,-0.366919954,0.075163053,0.165989685,0.450046858,0.276811597,0.049734501,-0.013041782,-0.525633609,0.204305797,-0.520094998,0.105983793,0.313749507,-0.301069028,0.000343078,-0.268071725,-0.358656224,-0.107927361,-0.290922229,0.18263775,0.19284572,0.343482488,0.408455781,-0.287984931,-0.193112278,-0.322047313,-0.338585432
samw_F_L_oly_4X_18,Female,2.158697293,0,1.10296882,0,555.1104139,7.64E-14,1.28E-13,-330.8949644,3.659930393,1.692673974,1.317948439,4.156492484,33.85083413,2.270214094,0.699363066,-29.333752,2.922742179,-0.118925608,-1.998892731,-3.723066171,7.932414955,0.307090316,2.403483762,-1.292684464,0.44671231,-0.030975642,-0.838508019,-1.204091429,3.081445028,-0.653325281,3.367422213,-2.279274016,-0.080449033,0.912486991,-2.195279833,0.843879163,0.940343939,-1.204296467,-0.217369847,-0.755237123,0.653500792,1.061581757,0.436490378,1.313505114,0.32958353,-0.809695036,-0.100009636,-1.00089831,0.403735708,0.629024056,0.153995715,-0.066107026,0.00551927,-0.639637904,-0.718992923,0.209021242,0.444993993,0.624826989,-0.001732529,-0.012163807,0.371052151,-0.463797605,0.539923043,-0.423872881,0.243154127,0.233652898,-0.090354573,0.129250499,-0.292524073,-0.423888631,-0.549263317,-0.565612517,0.367684999,0.299242788,0.377225701,0.2070669,0.083224066,-0.011293781,0.064327247,0.033741178
samw_F_L_oly_4X_19,Female,2.326886685,0,0.25744694,0,560.2027921,1.14E-13,1.78E-13,-337.7969144,5.000693802,-2.538959526,3.143717516,5.191263814,32.49853819,2.838576263,0.738479024,-28.66417023,3.270517006,-2.79619609,-2.754089596,-4.644246379,7.74406791,0.637031278,2.448843963,-1.680118012,-0.298461167,-0.874557201,-2.327500482,-1.745729772,3.419825638,-0.597451618,3.555534694,-1.869114992,-0.718979764,0.285161792,-2.5186496,1.183797045,1.187680653,-1.365206695,0.125538131,-1.170678334,0.106258545,1.309613933,0.578834592,1.768954644,0.427573502,-1.133384307,-0.728685322,-1.225763277,0.143680274,0.684682496,0.78075461,-0.062444396,0.024590994,-0.562122362,-0.834206645,0.083779074,0.349231459,0.641302953,0.072555795,0.081410626,0.031769255,-0.343044886,0.10065036,-0.468073562,0.095583847,0.245474376,0.084837449,-0.184525735,-0.117699754,-0.025159953,-0.576363595,-0.228848763,0.128343459,0.035447803,0.183422261,0.262803576,0.215423846,0.249477384,-0.166155079,0.213620699
samw_F_L_oly_4X_20,Female,0.957790559,0,0.581792018,0,573.7224457,-6.75E-14,-1.07E-13,-342.4041438,3.783290851,0.561702639,3.504280301,4.14359304,34.19101649,2.261568654,0.52667097,-29.48648514,2.277431891,-0.862160057,-3.263304082,-3.782359195,8.656498173,-0.399689385,3.137962848,-1.395694202,0.675609299,0.161854663,-1.889452807,-0.951590292,3.036930427,-1.41154723,3.114654155,-2.489556478,-0.095354816,0.979901497,-2.366786846,1.230280386,0.543462289,-1.479794366,0.020559356,-1.047792526,1.00022284,1.653395028,0.684704366,1.546230642,0.241161168,-1.069540206,-0.560142099,-0.9095536,0.802926197,0.717885229,0.463524136,-0.309763086,-0.417742265,-0.717520355,-0.426021236,-0.039567088,0.747699448,0.75561104,0.180813586,0.303345305,-0.308620945,-0.493948909,0.042352975,-0.633394572,0.559285102,0.478339746,-0.102462293,-0.013246022,-0.25435113,-0.11385621,-0.481818864,0.108119022,0.674571484,0.213575814,0.494952226,0.421018878,-0.121362402,-0.113906127,0.028357389,-0.149559795
samw_F_L_oly_4X_21,Female,2.62465046,0,0.085695176,0,537.3019955,-2.13E-14,-3.91E-14,-321.4792824,6.680153267,-3.534885003,-0.161349569,0.893894631,29.7559687,2.848886717,1.600691143,-26.85375511,3.973737638,-3.09894148,-3.639932259,-4.830366761,7.695414823,1.924813439,3.111954942,-0.728172136,0.159923281,-0.928746158,-2.586655038,-1.389046907,3.355464911,0.269725907,3.480965554,-2.491069867,-0.907701588,0.145149179,-2.400312323,0.506289091,1.227849034,-1.06433732,0.739444417,-1.004385661,-0.017393021,1.285009124,0.444547635,1.906006686,0.854588801,-1.069293297,-0.521338682,-0.963982731,-0.066073984,1.083595935,0.113289867,-0.160013121,0.065279389,-0.841265213,-0.880880509,-0.228239258,0.183016771,0.922059325,0.514468772,-0.105706104,0.108376864,-0.691783989,0.107771388,0.014717032,0.058335401,0.551552315,-0.206028306,-0.648529642,-0.022697324,-0.351585269,-0.213870436,0.202824402,-0.071379895,0.374417073,-0.272135338,-0.02113162,0.288109335,-0.223701163,0.385157962,-0.041343436
samw_F_L_oly_4X_22,Female,4.19346902,0,1.263126901,0,552.7447593,9.24E-14,1.56E-13,-330.2980382,7.767929248,-1.248762509,0.097145136,3.490275078,30.52603141,3.135309927,2.936989678,-28.72355296,4.077618139,-2.92274052,-3.602838325,-4.500430882,7.335028356,1.535775549,3.224159297,-1.992247866,0.167936751,-0.839058252,-1.688767868,-0.579878654,3.395469544,-0.354295502,3.062112597,-2.645637243,-0.541762639,0.094340629,-2.074401393,1.043644318,1.166195239,-1.071485137,-0.114699686,-0.663912354,0.011289136,1.40002367,0.698903364,1.436186701,0.651786375,-1.292343544,-0.436309615,-1.228235486,0.218143516,0.813268558,0.117462629,-0.137766617,-0.122261359,-0.701805957,-0.697049601,-0.000459316,0.465088589,0.79377178,0.393640177,0.146674025,-0.204345847,-0.48880033,0.022706431,-0.521655062,0.412480692,0.112778638,-0.015158975,-0.12383205,-0.200774937,0.10713145,-0.549193492,0.208702756,0.237056387,-0.167224179,0.254929278,0.046153726,0.344821358,0.278204334,0.129075122,-0.073907109
